Town,Restriction Type,Total Estimated length (m),Total Estimated places (@5.5m each)
Broadclyst,No Waiting At Any Time,742,130
Buckfast,No Waiting,641,116
Buckfast,No Waiting At Any Time,491,88
Buckfastleigh,Disabled Parking,18,3
Buckfastleigh,Keep Clear Marking (TRO),66,11
Buckfastleigh,Limited Waiting,103,17
Buckfastleigh,Loading Only,44,5
Buckfastleigh,No Loading,12,2
Buckfastleigh,No Loading At Any Time,434,75
Buckfastleigh,No Waiting,1813,318
Buckfastleigh,No Waiting At Any Time,3185,549
Buckland in the Moor,No Waiting At Any Time,634,115
Buckland Monachorum,No Waiting At Any Time,10,1
Budleigh Salterton,Limited Waiting,402,66
Budleigh Salterton,No Loading At Any Time,114,19
Budleigh Salterton,No Waiting,43,7
Budleigh Salterton,No Waiting At Any Time,7748,1363
Budleigh Salterton,Pay & Display,246,43
Chagford,Disabled Parking,38,6
Chagford,Limited Waiting,193,30
Chagford,Loading Only,53,8
Chagford,No Loading At Any Time,108,19
Chagford,No Waiting At Any Time,2653,472
Chagford,Permit Holders Only,12,2
Challaborough,No Waiting At Any Time,137,24
Chillington,Limited Waiting,17,2
Chillington,No Waiting At Any Time,175,27
Chivenor,No Waiting At Any Time,738,130
Christow,Keep Clear Marking (TRO),32,5
Chudleigh,Disabled Parking,21,3
Chudleigh,Keep Clear Marking (TRO),31,5
Chudleigh,Limited Waiting,118,16
Chudleigh,Loading Only,37,5
Chudleigh,No Waiting At Any Time,3553,612
Chudleigh Knighton,Keep Clear Marking (TRO),33,5
Clovelly,Loading Only,15,2
Clovelly,No Loading At Any Time,385,68
Clovelly,No Waiting At Any Time,431,74
Clyst Honiton,Clearway route,923,167
Clyst Honiton,No Waiting,31,5
Clyst Honiton,No Waiting At Any Time,2902,520
Clyst St Mary,Limited Waiting,70,12
Clyst St Mary,No Waiting,117,21
Clyst St Mary,No Waiting At Any Time,1331,231
Cockwood,Keep Clear Marking (TRO),27,4
Cockwood,No Waiting At Any Time,226,39
Colyford,Keep Clear Marking (TRO),22,3
Colyton,Disabled Parking,12,2
Colyton,Keep Clear Marking (TRO),35,6
Colyton,No Waiting,550,99
Colyton,No Waiting At Any Time,920,150
Combe Martin,Disabled Parking,27,4
Combe Martin,Limited Waiting,146,22
Combe Martin,Loading Only,10,1
Combe Martin,No Loading At Any Time,44,7
Combe Martin,No Waiting,722,127
Combe Martin,No Waiting At Any Time,6040,1061
Combe Martin,Parking Place,165,27
Combe Martin,Pay & Display,95,15
Combe Martin,Public Service Vehicle Parking,35,6
Copplestone,Disabled Parking,10,1
Copplestone,No Waiting At Any Time,764,130
Cornwood,Keep Clear Marking (TRO),26,4
Cornwood,Limited Waiting,9,1
Cranbrook,Permit Holders Only,5,1
Crediton,Disabled Parking,74,10
Crediton,Keep Clear Marking (TRO),25,4
Crediton,Limited Waiting,974,158
Crediton,Loading Only,78,11
Crediton,No Loading,1059,185
Crediton,No Loading At Any Time,53,9
Crediton,No Waiting,2592,453
Crediton,No Waiting At Any Time,12121,2094
Cross Roads,Keep Clear Marking (TRO),26,4
Cross Roads,No Waiting At Any Time,85,14
Croyde,Clearway route,1035,187
Croyde,Limited Waiting,109,18
Croyde,No Waiting At Any Time,6054,1079
Cullompton,Disabled Parking,61,8
Cullompton,Keep Clear Marking (TRO),62,11
Cullompton,Limited Waiting,255,40
Cullompton,Loading Only,62,10
Cullompton,No Loading,81,14
Cullompton,No Loading At Any Time,150,26
Cullompton,No Waiting,289,48
Cullompton,No Waiting At Any Time,4897,856
Cullompton,Permit Holders Only,12,2
Dartington,No Waiting At Any Time,760,130
Dartmouth,Disabled Parking,31,4
Dartmouth,Emergency Service Vehicles,11,2
Dartmouth,Keep Clear Marking (TRO),81,13
Dartmouth,Limited Waiting,1523,262
Dartmouth,Loading Only,32,4
Dartmouth,No Loading,507,89
Dartmouth,No Loading At Any Time,57,9
Dartmouth,No Waiting,814,139
Dartmouth,No Waiting At Any Time,15403,2705
Dartmouth,Permit Holders Only,30,5
Dartmouth,Public Service Vehicle Parking,50,9
Dartmouth,Residents Permit Parking,101,15
Dawlish,Disabled Parking,71,11
Dawlish,Keep Clear Marking (TRO),255,42
Dawlish,Limited Waiting,310,51
Dawlish,Loading Only,66,10
Dawlish,M/Cycle Parking,6,1
Dawlish,No Loading At Any Time,415,73
Dawlish,No Waiting,343,60
Dawlish,No Waiting At Any Time,12744,2219
Dawlish,Pay & Display,471,80
Dawlish,Public Service Vehicle Parking,30,5
Dawlish Warren,Limited Waiting,15,2
Dawlish Warren,No Waiting At Any Time,2206,398
Diptford,No Waiting At Any Time,152,26
Dittisham,No Waiting At Any Time,336,56
Doddiscombsleigh,Keep Clear Marking (TRO),62,10
Dousland,No Waiting At Any Time,556,101
Down Thomas,No Waiting At Any Time,2,1
Dunkeswell,No Waiting At Any Time,623,113
East Allington,Keep Clear Marking (TRO),34,6
East Budleigh,No Waiting At Any Time,755,134
East Portlemouth,No Waiting At Any Time,1293,228
East the Water,Disabled Parking,14,2
East the Water,Keep Clear Marking (TRO),86,14
East the Water,No Waiting,575,101
East the Water,No Waiting At Any Time,3228,571
Ermington,Keep Clear Marking (TRO),78,12
Ermington,No Waiting At Any Time,52,9
Exeter,Clearway route,9382,1701
Exeter,Disabled Parking,2302,329
Exeter,Electric Vehicle Parking,13,2
Exeter,Emergency Service Vehicles,21,3
Exeter,Keep Clear Marking (TRO),1432,231
Exeter,Limited Waiting,7998,1235
Exeter,Loading Only,1082,162
Exeter,M/Cycle Parking,71,10
Exeter,No Loading,13012,2299
Exeter,No Loading At Any Time,4271,732
Exeter,No Waiting,24348,4276
Exeter,No Waiting At Any Time,162761,28100
Exeter,Pay & Display,8868,1481
Exeter,Permit Holders Only,290,48
Exeter,Public Service Vehicle Parking,313,53
Exeter,Residents Permit Parking,71332,12442
Exminster,Keep Clear Marking (TRO),41,7
Exminster,Limited Waiting,30,5
Exminster,No Waiting At Any Time,1859,317
Exminster,Permit Holders Only,11,2
Exmouth,Disabled Parking,381,58
Exmouth,Keep Clear Marking (TRO),188,33
Exmouth,Limited Waiting,1724,288
Exmouth,Loading Only,254,37
Exmouth,No Loading,54,9
Exmouth,No Loading At Any Time,307,51
Exmouth,No Waiting,1338,236
Exmouth,No Waiting At Any Time,40519,7097
Exmouth,Pay & Display,1173,203
Exmouth,Permit Holders Only,233,42
Exmouth,Prohibition of Motor Caravans,883,155
Exton,No Waiting At Any Time,138,24
Ford,No Waiting,53,9
Ford,No Waiting At Any Time,80,14
Fremington,Keep Clear Marking (TRO),43,7
Fremington,No Loading,49,8
Fremington,No Waiting,13,2
Fremington,No Waiting At Any Time,504,86
Fremington,Residents Permit Parking,92,15
Frithelstock,No Waiting At Any Time,92,15
Galmpton,No Waiting At Any Time,372,67
Georgeham,Keep Clear Marking (TRO),46,8
Georgeham,No Waiting,140,25
Georgeham,No Waiting At Any Time,288,51
Great Torrington,Disabled Parking,14,2
Great Torrington,Keep Clear Marking (TRO),30,5
Great Torrington,Limited Waiting,361,60
Great Torrington,Loading Only,55,8
Great Torrington,No Loading,476,81
Great Torrington,No Loading At Any Time,37,6
Great Torrington,No Waiting,2613,453
Great Torrington,No Waiting At Any Time,4198,727
Harbertonford,Disabled Parking,14,2
Harbertonford,Keep Clear Marking (TRO),61,10
Harbertonford,No Waiting At Any Time,285,44
Hartland,Keep Clear Marking (TRO),42,7
Hartland,Limited Waiting,88,14
Hartland,No Waiting At Any Time,536,96
Hatherleigh,Keep Clear Marking (TRO),55,9
Hatherleigh,Loading Only,36,5
Hatherleigh,No Waiting At Any Time,262,43
Heathfield,Keep Clear Marking (TRO),26,4
Heathfield,No Waiting,65,11
Heathfield,No Waiting At Any Time,138,25
Heybrook Bay,No Waiting At Any Time,354,63
Hillhead,No Waiting At Any Time,87,14
Holbeton,No Waiting,447,79
Holbeton,No Waiting At Any Time,279,51
Holne,No Waiting At Any Time,1,1
Holsworthy,Disabled Parking,8,1
Holsworthy,Keep Clear Marking (TRO),25,4
Holsworthy,Limited Waiting,195,34
Holsworthy,Loading Only,65,10
Holsworthy,No Loading,265,46
Holsworthy,No Loading At Any Time,17,2
Holsworthy,No Waiting,2321,412
Holsworthy,No Waiting At Any Time,4352,757
Honiton,Disabled Parking,26,4
Honiton,Keep Clear Marking (TRO),103,17
Honiton,Limited Waiting,635,103
Honiton,Loading Only,42,6
Honiton,No Loading,241,41
Honiton,No Loading At Any Time,28,5
Honiton,No Waiting,2047,363
Honiton,No Waiting At Any Time,14003,2465
Hope Cove,Limited Waiting,29,4
Hope Cove,No Waiting,524,91
Hope Cove,No Waiting At Any Time,525,92
Horrabridge,Keep Clear Marking (TRO),26,4
Horrabridge,No Waiting At Any Time,428,66
Ide,Keep Clear Marking (TRO),24,4
Ide,No Waiting,18,3
Ide,No Waiting At Any Time,748,131
Ilfracombe,Disabled Parking,157,23
Ilfracombe,Keep Clear Marking (TRO),129,21
Ilfracombe,Limited Waiting,491,83
Ilfracombe,Loading Only,156,27
Ilfracombe,No Loading,1456,257
Ilfracombe,No Loading At Any Time,993,171
Ilfracombe,No Waiting,3409,596
Ilfracombe,No Waiting At Any Time,17713,3110
Ilfracombe,Pay & Display,477,81
Ilfracombe,Public Service Vehicle Parking,15,2
Ilsington,Keep Clear Marking (TRO),26,4
Instow,Limited Waiting,490,85
Instow,Loading Only,30,5
Instow,No Loading At Any Time,150,26
Instow,No Waiting,637,113
Instow,No Waiting At Any Time,2824,503
Ipplepen,Keep Clear Marking (TRO),30,5
Ipplepen,No Waiting At Any Time,186,30
Ivybridge,Disabled Parking,69,10
Ivybridge,Keep Clear Marking (TRO),183,30
Ivybridge,Limited Waiting,310,48
Ivybridge,Loading Only,21,3
Ivybridge,No Loading At Any Time,885,149
Ivybridge,No Waiting,610,106
Ivybridge,No Waiting At Any Time,8217,1404
Ivybridge,Residents Permit Parking,618,101
Kennford,Keep Clear Marking (TRO),18,3
Kennford,Limited Waiting,14,2
Kennford,No Waiting,58,10
Kennford,No Waiting At Any Time,38,7
Kenton,No Waiting At Any Time,862,144
Kingsbridge,Disabled Parking,35,6
Kingsbridge,Keep Clear Marking (TRO),94,15
Kingsbridge,Limited Waiting,754,125
Kingsbridge,Loading Only,128,20
Kingsbridge,No Loading,672,121
Kingsbridge,No Loading At Any Time,72,12
Kingsbridge,No Waiting,2866,502
Kingsbridge,No Waiting At Any Time,11461,2010
Kingsbridge,Permit Holders Only,102,17
Kingskerswell,Keep Clear Marking (TRO),86,15
Kingskerswell,Limited Waiting,121,20
Kingskerswell,No Waiting At Any Time,2892,500
Kingsteignton,Disabled Parking,14,2
Kingsteignton,Keep Clear Marking (TRO),166,27
Kingsteignton,Limited Waiting,23,3
Kingsteignton,No Waiting At Any Time,5301,921
Kingston,No Waiting At Any Time,37,5
Kingswear,Limited Waiting,29,5
Kingswear,No Waiting,67,12
Kingswear,No Waiting At Any Time,4002,709
Kingswear,Permit Holders Only,432,70
Lee Mill,No Waiting At Any Time,2651,471
Lee Mill Bridge,Disabled Parking,6,1
Lee Mill Bridge,No Waiting At Any Time,325,56
Lifton,No Waiting At Any Time,63,10
Liverton,Keep Clear Marking (TRO),22,3
Liverton,No Loading At Any Time,157,27
Liverton,No Waiting At Any Time,215,38
Loddiswell,Keep Clear Marking (TRO),30,5
Loddiswell,No Waiting At Any Time,143,23
Longcombe,No Waiting At Any Time,65,11
Lympstone,Limited Waiting,56,7
Lympstone,No Waiting At Any Time,3448,611
Lynmouth,Disabled Parking,21,3
Lynmouth,Limited Waiting,370,65
Lynmouth,Loading Only,12,2
Lynmouth,No Loading At Any Time,88,15
Lynmouth,No Waiting,746,134
Lynmouth,No Waiting At Any Time,1752,308
Lynton,Clearway route,377,68
Lynton,Disabled Parking,10,1
Lynton,Limited Waiting,300,51
Lynton,No Loading At Any Time,70,12
Lynton,No Waiting,1138,198
Lynton,No Waiting At Any Time,2895,504
Malborough,Keep Clear Marking (TRO),52,8
Malborough,No Waiting At Any Time,909,158
Marldon,Disabled Parking,7,1
Marldon,Keep Clear Marking (TRO),100,16
Marldon,No Waiting At Any Time,839,142
Marldon,Residents Permit Parking,20,3
Modbury,Disabled Parking,7,1
Modbury,Keep Clear Marking (TRO),95,15
Modbury,Limited Waiting,74,13
Modbury,No Waiting At Any Time,2167,378
Moorhaven,No Waiting At Any Time,35,6
Moretonhampstead,Disabled Parking,7,1
Moretonhampstead,Keep Clear Marking (TRO),62,10
Moretonhampstead,Limited Waiting,185,29
Moretonhampstead,Loading Only,18,3
Moretonhampstead,No Loading,14,3
Moretonhampstead,No Loading At Any Time,168,30
Moretonhampstead,No Waiting,34,6
Moretonhampstead,No Waiting At Any Time,3193,563
Mortehoe,Clearway route,496,90
Mortehoe,Limited Waiting,12,2
Mortehoe,No Waiting,992,178
Mortehoe,No Waiting At Any Time,804,143
Newton Abbot,Disabled Parking,235,35
Newton Abbot,Keep Clear Marking (TRO),307,52
Newton Abbot,Limited Waiting,1278,205
Newton Abbot,Loading Only,394,60
Newton Abbot,No Loading,906,160
Newton Abbot,No Loading At Any Time,2985,524
Newton Abbot,No Waiting,8917,1563
Newton Abbot,No Waiting At Any Time,29189,5092
Newton Abbot,Pay & Display,1409,230
Newton Abbot,Permit Holders Only,12,2
Newton Abbot,Residents Permit Parking,3815,648
Newton Ferrers,Keep Clear Marking (TRO),49,8
Newton Ferrers,Limited Waiting,168,26
Newton Ferrers,No Waiting,390,69
Newton Ferrers,No Waiting At Any Time,978,172
Newton Poppleford,Keep Clear Marking (TRO),40,7
Newton Poppleford,No Waiting At Any Time,234,38
Newton St Cyres,No Waiting At Any Time,265,43
North Tawton,Disabled Parking,27,3
North Tawton,Keep Clear Marking (TRO),32,5
North Tawton,Loading Only,18,2
North Tawton,No Loading At Any Time,323,54
North Tawton,No Waiting At Any Time,1965,340
Northam,Keep Clear Marking (TRO),106,17
Northam,Limited Waiting,82,13
Northam,No Waiting,209,37
Northam,No Waiting At Any Time,4208,730
Noss Mayo,No Waiting At Any Time,1190,213
Ogwell,Keep Clear Marking (TRO),45,8
Ogwell,No Waiting At Any Time,935,158
Okehampton,Disabled Parking,82,10
Okehampton,Limited Waiting,693,114
Okehampton,Loading Only,85,11
Okehampton,No Loading,244,43
Okehampton,No Loading At Any Time,762,127
Okehampton,No Waiting,972,166
Okehampton,No Waiting At Any Time,9818,1705
Otterton,No Waiting At Any Time,641,116
Ottery St Mary,Disabled Parking,30,4
Ottery St Mary,Limited Waiting,219,36
Ottery St Mary,Loading Only,30,4
Ottery St Mary,No Loading,74,13
Ottery St Mary,No Waiting,210,36
Ottery St Mary,No Waiting At Any Time,5088,890
Parkham,Keep Clear Marking (TRO),53,8
Plympton,No Waiting At Any Time,3830,688
Poundsgate,No Waiting At Any Time,1967,358
Princetown,Keep Clear Marking (TRO),51,8
Princetown,Limited Waiting,61,11
Princetown,No Waiting,1054,189
Princetown,No Waiting At Any Time,2746,492
Rockbeare,Keep Clear Marking (TRO),38,6
Rockbeare,No Waiting,46,8
Salcombe,Disabled Parking,14,2
Salcombe,Keep Clear Marking (TRO),42,7
Salcombe,Limited Waiting,402,63
Salcombe,No Loading,616,109
Salcombe,No Loading At Any Time,214,37
Salcombe,No Waiting At Any Time,16858,2993
Salcombe,Permit Holders Only,5,1
Salcombe,Residents Permit Parking,291,46
Sampford Peverell,Limited Waiting,106,17
Sampford Peverell,No Waiting At Any Time,1582,283
Sandford,Limited Waiting,10,1
Sandford,No Waiting At Any Time,79,13
Saunton,No Waiting At Any Time,2898,526
Seaton,Disabled Parking,175,28
Seaton,Emergency Service Vehicles,22,3
Seaton,Keep Clear Marking (TRO),99,17
Seaton,Limited Waiting,565,93
Seaton,Loading Only,37,5
Seaton,No Loading,103,18
Seaton,No Loading At Any Time,717,123
Seaton,No Waiting,461,82
Seaton,No Waiting At Any Time,12730,2239
Seaton,Pay & Display,454,82
Seaton,Residents Permit Parking,139,24
Shaldon,Keep Clear Marking (TRO),26,4
Shaldon,Limited Waiting,161,26
Shaldon,Loading Only,27,4
Shaldon,No Loading,60,10
Shaldon,No Loading At Any Time,277,50
Shaldon,No Waiting,5,1
Shaldon,No Waiting At Any Time,7841,1383
Shaugh Prior,Keep Clear Marking (TRO),32,5
Sidbury,No Waiting At Any Time,240,42
Sidford,No Loading,21,3
Sidford,No Waiting,731,130
Sidford,No Waiting At Any Time,625,106
Sidmouth,Disabled Parking,143,23
Sidmouth,Keep Clear Marking (TRO),135,22
Sidmouth,Limited Waiting,753,126
Sidmouth,Loading Only,107,15
Sidmouth,No Loading,270,47
Sidmouth,No Loading At Any Time,1213,212
Sidmouth,No Waiting,4760,836
Sidmouth,No Waiting At Any Time,15656,2732
Sidmouth,Pay & Display,246,44
Sidmouth,Public Service Vehicle Parking,61,10
Silverton,No Waiting At Any Time,522,90
Slapton,No Waiting,1,1
South Brent,Disabled Parking,6,1
South Brent,Keep Clear Marking (TRO),82,14
South Brent,Limited Waiting,97,16
South Brent,Loading Only,15,2
South Brent,No Waiting,188,33
South Brent,No Waiting At Any Time,1517,263
South Milton,No Waiting,488,88
South Molton,Disabled Parking,20,3
South Molton,Keep Clear Marking (TRO),23,4
South Molton,Limited Waiting,597,98
South Molton,Loading Only,24,3
South Molton,No Loading At Any Time,72,13
South Molton,No Waiting,4647,828
South Molton,No Waiting At Any Time,3376,586
South Zeal,Keep Clear Marking (TRO),43,7
South Zeal,Limited Waiting,13,2
South Zeal,No Waiting At Any Time,183,28
Sparkwell,Keep Clear Marking (TRO),44,8
Staddiscombe,No Waiting At Any Time,1087,196
Starcross,Disabled Parking,13,2
Starcross,Keep Clear Marking (TRO),44,8
Starcross,Limited Waiting,40,7
Starcross,No Waiting,166,29
Starcross,No Waiting At Any Time,1367,239
Stoke Canon,Keep Clear Marking (TRO),19,3
Stoke Canon,No Waiting At Any Time,146,24
Stoke Fleming,Keep Clear Marking (TRO),3,1
Stoke Fleming,No Waiting At Any Time,491,86
Stoke Gabriel,Keep Clear Marking (TRO),38,6
Stoke Gabriel,Limited Waiting,60,10
Stoke Gabriel,No Waiting At Any Time,1836,323
Stokeinteignhead,Keep Clear Marking (TRO),26,4
Stokenham,Keep Clear Marking (TRO),34,6
Stokenham,No Waiting At Any Time,30,5
Tavistock,Clearway route,715,129
Tavistock,Disabled Parking,121,17
Tavistock,Keep Clear Marking (TRO),108,18
Tavistock,Limited Waiting,1495,248
Tavistock,Loading Only,136,21
Tavistock,No Loading,248,42
Tavistock,No Loading At Any Time,1482,255
Tavistock,No Waiting,1979,347
Tavistock,No Waiting At Any Time,16094,2810
Tavistock,Public Service Vehicle Parking,70,12
Tedburn St Mary,Disabled Parking,7,1
Tedburn St Mary,Keep Clear Marking (TRO),31,5
Teigngrace,No Waiting At Any Time,456,80
Teignmouth,Disabled Parking,56,8
Teignmouth,Keep Clear Marking (TRO),347,57
Teignmouth,Limited Waiting,667,106
Teignmouth,Loading Only,347,56
Teignmouth,No Loading,309,55
Teignmouth,No Loading At Any Time,522,87
Teignmouth,No Waiting,299,53
Teignmouth,No Waiting At Any Time,20204,3518
Teignmouth,Pay & Display,1401,235
Teignmouth,Permit Holders Only,54,8
Teignmouth,Public Service Vehicle Parking,53,8
Teignmouth,Residents Permit Parking,1416,252
Thorverton,Keep Clear Marking (TRO),44,8
Thorverton,No Waiting At Any Time,43,7
Thurlestone,Disabled Parking,22,4
Thurlestone,Keep Clear Marking (TRO),45,8
Thurlestone,No Waiting,793,143
Thurlestone,No Waiting At Any Time,865,154
Tiverton,Disabled Parking,85,14
Tiverton,Keep Clear Marking (TRO),245,41
Tiverton,Limited Waiting,754,126
Tiverton,Loading Only,101,17
Tiverton,No Loading,229,41
Tiverton,No Loading At Any Time,150,27
Tiverton,No Waiting,2203,382
Tiverton,No Waiting At Any Time,20247,3559
Tiverton,Permit Holders Only,40,7
Topsham,Disabled Parking,43,5
Topsham,Electric Vehicle Parking,10,1
Topsham,Keep Clear Marking (TRO),45,8
Topsham,Limited Waiting,413,67
Topsham,Loading Only,18,3
Topsham,No Loading,18,3
Topsham,No Waiting,34,5
Topsham,No Waiting At Any Time,6907,1201
Topsham,Permit Holders Only,10,1
Torcross,No Waiting,1106,198
Torcross,No Waiting At Any Time,81,14
Totnes,Disabled Parking,99,14
Totnes,Keep Clear Marking (TRO),237,40
Totnes,Limited Waiting,714,115
Totnes,Loading Only,74,12
Totnes,No Loading,12,2
Totnes,No Loading At Any Time,40,7
Totnes,No Waiting,3798,667
Totnes,No Waiting At Any Time,16749,2951
Totnes,Pay & Display,327,52
Totnes,Permit Holders Only,33,6
Totnes,Residents Permit Parking,3236,574
Uffculme,No Waiting At Any Time,1213,217
Ugborough,Keep Clear Marking (TRO),33,5
Uplyme,No Waiting At Any Time,49,8
Wembury,Keep Clear Marking (TRO),35,6
Wembury,No Waiting,579,102
West Alvington,No Waiting At Any Time,541,96
West Charleton,Keep Clear Marking (TRO),31,5
Westward Ho!,Limited Waiting,113,15
Westward Ho!,No Loading At Any Time,423,74
Westward Ho!,No Waiting,62,11
Westward Ho!,No Waiting At Any Time,2817,500
Widecombe in the Moor,Keep Clear Marking (TRO),26,4
Widecombe in the Moor,No Waiting,1796,323
Willand,No Waiting At Any Time,866,154
Winkleigh,No Waiting At Any Time,42,6
Woodbury,Limited Waiting,47,8
Woolacombe,Clearway route,865,157
Woolacombe,Limited Waiting,424,71
Woolacombe,No Loading At Any Time,40,7
Woolacombe,No Waiting,631,113
Woolacombe,No Waiting At Any Time,4065,723
Woolacombe,Pay & Display,559,100
Woolacombe,Residents Permit Parking,300,51
Woolston Green,Keep Clear Marking (TRO),52,8
Woolwell,No Waiting At Any Time,326,51
Wrangaton,No Waiting At Any Time,103,17
Yealmpton,Keep Clear Marking (TRO),27,4
Yealmpton,Limited Waiting,68,10
Yealmpton,No Waiting,75,13
Yealmpton,No Waiting At Any Time,617,107
Yelverton,Limited Waiting,97,16
Yelverton,No Waiting At Any Time,377,61
